OrderID,CustomerID,Date,ProductID,Quantity,Price,TotalAmount,StoreID,OrderStatus
ORD0235569,CUST024760,2023-07-01,P0370,1,22083.45,22083.45,ST0049,Completed
ORD0165832,CUST006351,2023-07-01,P0093,1,157219.52,157219.52,ST0003,Completed
ORD0142530,CUST023228,2023-07-01,P0422,2,23948.91,47897.82,ST0010,Completed
ORD0178798,CUST048897,2023-07-01,P0558,1,37210.02,37210.02,ST0014,Completed
ORD0216289,CUST018444,2023-07-01,P0266,2,21986.55,43973.1,ST0058,Completed
ORD0246493,CUST001500,2023-07-01,P0311,1,79265.28,79265.28,ST0015,Completed
ORD0004016,CUST010716,2023-07-01,P0033,1,118928.89,118928.89,ST0010,Completed
ORD0165872,CUST017332,2023-07-01,P0198,1,126265.3,126265.3,ST0052,Completed
ORD0249754,CUST025379,2023-07-01,P0447,1,34148.79,34148.79,ST0036,Completed
ORD0108084,CUST031734,2023-07-01,P0463,2,28663.68,57327.36,ST0012,Completed
ORD0085573,CUST027348,2023-07-01,P0197,2,18757.75,37515.5,ST0034,Completed
ORD0016702,CUST025788,2023-07-01,P0089,2,44635.83,89271.66,ST0010,Completed
ORD0102666,CUST034573,2023-07-01,P0573,1,16748.65,16748.65,ST0007,Completed
ORD0122412,CUST032701,2023-07-01,P0277,2,21765.08,43530.16,ST0010,Completed
ORD0212965,CUST043193,2023-07-01,P0179,1,34539.74,34539.74,ST0017,Completed
ORD0020136,CUST005890,2023-07-01,P0265,1,64406.04,64406.04,ST0029,Completed
ORD0232696,CUST008289,2023-07-01,P0539,1,58622.92,58622.92,ST0021,Completed
ORD0145623,CUST026222,2023-07-01,P0432,1,53604.97,53604.97,ST0060,Completed
ORD0181210,CUST032206,2023-07-01,P0441,1,128071.2,128071.2,ST0010,Completed
ORD0181201,CUST012147,2023-07-01,P0445,1,30191.19,30191.19,ST0045,Completed
ORD0038922,CUST043436,2023-07-01,P0043,2,10591.73,21183.46,ST0060,Completed
ORD0163203,CUST046935,2023-07-01,P0245,1,58577.4,58577.4,ST0016,Completed
ORD0181098,CUST018845,2023-07-01,P0480,1,158745.34,158745.34,ST0038,Completed
ORD0196623,CUST011483,2023-07-01,P0414,1,120201.18,120201.18,ST0031,Completed
ORD0225052,CUST046695,2023-07-01,P0574,2,30558.96,61117.92,ST0018,Completed
ORD0137540,CUST025481,2023-07-01,P0444,1,123550.36,123550.36,ST0012,Completed
ORD0055249,CUST038596,2023-07-01,P0463,1,28663.68,28663.68,ST0040,Completed
ORD0142581,CUST010089,2023-07-01,P0106,1,13868.57,13868.57,ST0044,Completed
ORD0121013,CUST039401,2023-07-01,P0262,1,48869.43,48869.43,ST0046,Completed
ORD0149327,CUST046866,2023-07-01,P0182,1,35585.65,35585.65,ST0045,Completed
ORD0060079,CUST013315,2023-07-01,P0181,1,62687.95,62687.95,ST0024,Completed
ORD0004991,CUST028736,2023-07-01,P0174,1,145776.66,145776.66,ST0052,Completed
ORD0102647,CUST028067,2023-07-01,P0316,1,36884.91,36884.91,ST0037,Completed
ORD0106413,CUST021508,2023-07-01,P0388,1,16206.32,16206.32,ST0055,Completed
ORD0008021,CUST002133,2023-07-01,P0228,1,93507.82,93507.82,ST0007,Completed
ORD0110842,CUST014916,2023-07-01,P0479,1,34795.17,34795.17,ST0021,Completed
ORD0220987,CUST022273,2023-07-01,P0278,1,15263.9,15263.9,ST0025,Completed
ORD0069697,CUST020697,2023-07-01,P0446,1,34034.06,34034.06,ST0030,Completed
ORD0213015,CUST001563,2023-07-01,P0141,1,65974.97,65974.97,ST0007,Completed
