StoreID,ProductID,StockLevel,ReorderLevel
ST0001,P0422,50,37
ST0001,P0018,221,23
ST0001,P0230,80,39
ST0001,P0178,182,18
ST0001,P0527,246,23
ST0001,P0261,95,33
ST0001,P0068,241,34
ST0001,P0014,197,18
ST0001,P0298,160,28
ST0001,P0270,68,38
ST0001,P0035,0,36
ST0001,P0156,38,23
ST0001,P0499,167,18
ST0001,P0513,159,14
ST0001,P0137,108,31
ST0001,P0591,91,18
ST0001,P0151,31,34
ST0001,P0335,212,19
ST0001,P0183,249,39
ST0001,P0207,80,38
ST0001,P0582,248,22
ST0001,P0248,184,31
ST0001,P0378,214,18
ST0001,P0326,161,16
ST0001,P0467,204,20
ST0001,P0295,5,10
ST0001,P0066,195,30
ST0001,P0299,38,29
ST0001,P0144,83,20
ST0001,P0569,158,21
ST0001,P0354,197,15
ST0001,P0203,233,15
ST0001,P0075,171,16
ST0001,P0567,214,14
ST0001,P0494,163,15
ST0001,P0057,163,14
ST0001,P0318,58,38
ST0001,P0490,2,18
ST0001,P0062,54,23
ST0001,P0209,87,12
ST0001,P0481,121,34
ST0001,P0180,149,22
ST0001,P0278,94,12
ST0001,P0450,1,23
ST0001,P0236,75,34
ST0001,P0262,37,24
ST0001,P0104,30,19
ST0001,P0120,58,36
ST0001,P0429,93,23
ST0001,P0500,228,37
ST0001,P0573,202,38
ST0001,P0417,139,25
ST0001,P0461,110,27
ST0001,P0398,0,23
ST0001,P0471,169,28
ST0001,P0402,233,17
ST0001,P0440,190,24
ST0001,P0124,159,16
ST0001,P0271,175,17
ST0001,P0065,55,39
ST0001,P0503,137,29
ST0001,P0010,70,33
ST0001,P0545,181,39
ST0001,P0322,189,29
ST0001,P0141,52,28
ST0001,P0574,122,23
ST0001,P0339,227,30
ST0001,P0159,29,21
ST0001,P0532,228,18
ST0001,P0559,74,33
ST0001,P0392,211,34
ST0001,P0434,156,29
ST0001,P0480,34,32
ST0001,P0416,217,35
ST0001,P0419,243,10
ST0001,P0185,39,22
ST0001,P0460,197,18
ST0001,P0548,49,11
ST0001,P0508,40,24
ST0001,P0338,66,16
ST0002,P0333,135,14
ST0002,P0500,241,34
ST0002,P0115,175,35
ST0002,P0377,0,12
ST0002,P0520,162,23
ST0002,P0052,164,32
ST0002,P0334,64,34
ST0002,P0314,74,11
ST0002,P0487,126,18
ST0002,P0292,29,19
ST0002,P0078,142,31
ST0002,P0412,2,37
ST0002,P0463,126,20
ST0002,P0023,116,13
ST0002,P0075,25,17
ST0002,P0550,84,25
ST0002,P0483,246,15
ST0002,P0193,104,25
ST0002,P0261,184,27
ST0002,P0482,249,26
ST0002,P0453,247,27
ST0002,P0267,187,35
ST0002,P0411,26,38
ST0002,P0015,17,34
ST0002,P0478,103,35
ST0002,P0010,39,16
ST0002,P0545,171,12
ST0002,P0116,103,33
ST0002,P0401,95,12
ST0002,P0001,148,28
ST0002,P0013,32,11
ST0002,P0104,157,30
ST0002,P0522,167,33
ST0002,P0084,166,35
ST0002,P0107,1,15
ST0002,P0009,117,37
ST0002,P0465,215,35
ST0002,P0206,41,29
ST0002,P0588,246,26
ST0002,P0437,17,38
ST0002,P0347,4,32
ST0002,P0452,217,15
ST0002,P0276,190,10
ST0002,P0092,0,13
ST0002,P0018,150,36
ST0002,P0156,102,37
ST0002,P0367,238,19
ST0002,P0135,240,39
