PaymentID,OrderID,CustomerID,Amount,Method,Date
PAY0000001,ORD0235569,CUST024760,22083.45,Credit Card,2023-07-01
PAY0000002,ORD0165832,CUST006351,157219.52,Cash,2023-07-01
PAY0000003,ORD0142530,CUST023228,47897.82,Cash,2023-07-01
PAY0000004,ORD0178798,CUST048897,37210.02,Cash,2023-07-01
PAY0000005,ORD0216289,CUST018444,43973.1,EMI,2023-07-01
PAY0000006,ORD0246493,CUST001500,79265.28,Cash,2023-07-01
PAY0000007,ORD0004016,CUST010716,118928.89,Cash,2023-07-01
PAY0000008,ORD0165872,CUST017332,126265.3,Net Banking,2023-07-01
PAY0000009,ORD0249754,CUST025379,34148.79,Debit Card,2023-07-01
PAY0000010,ORD0108084,CUST031734,57327.36,UPI,2023-07-01
PAY0000011,ORD0085573,CUST027348,37515.5,EMI,2023-07-01
PAY0000012,ORD0016702,CUST025788,89271.66,Net Banking,2023-07-01
PAY0000013,ORD0102666,CUST034573,16748.65,Debit Card,2023-07-01
PAY0000014,ORD0122412,CUST032701,43530.16,Cash,2023-07-01
PAY0000015,ORD0212965,CUST043193,34539.74,EMI,2023-07-01
PAY0000016,ORD0020136,CUST005890,64406.04,UPI,2023-07-01
PAY0000017,ORD0232696,CUST008289,58622.92,UPI,2023-07-01
PAY0000018,ORD0145623,CUST026222,53604.97,Wallet,2023-07-01
PAY0000019,ORD0181210,CUST032206,128071.2,Cash,2023-07-01
PAY0000020,ORD0181201,CUST012147,30191.19,Cash,2023-07-01
PAY0000021,ORD0038922,CUST043436,21183.46,Cash,2023-07-01
PAY0000022,ORD0163203,CUST046935,58577.4,Credit Card,2023-07-01
PAY0000023,ORD0181098,CUST018845,158745.34,Cash,2023-07-01
PAY0000024,ORD0196623,CUST011483,120201.18,Credit Card,2023-07-01
PAY0000025,ORD0225052,CUST046695,61117.92,Debit Card,2023-07-01
PAY0000026,ORD0137540,CUST025481,123550.36,Cash,2023-07-01
PAY0000027,ORD0055249,CUST038596,28663.68,Net Banking,2023-07-01
PAY0000028,ORD0142581,CUST010089,13868.57,Cash,2023-07-01
PAY0000029,ORD0121013,CUST039401,48869.43,Wallet,2023-07-01
PAY0000030,ORD0149327,CUST046866,35585.65,EMI,2023-07-01
PAY0000031,ORD0060079,CUST013315,62687.95,Credit Card,2023-07-01
PAY0000032,ORD0004991,CUST028736,145776.66,UPI,2023-07-01
PAY0000033,ORD0102647,CUST028067,36884.91,UPI,2023-07-01
PAY0000034,ORD0106413,CUST021508,16206.32,Wallet,2023-07-01
PAY0000035,ORD0008021,CUST002133,93507.82,Cash,2023-07-01
PAY0000036,ORD0110842,CUST014916,34795.17,EMI,2023-07-01
PAY0000037,ORD0220987,CUST022273,15263.9,Credit Card,2023-07-01
PAY0000038,ORD0069697,CUST020697,34034.06,EMI,2023-07-01
