ClaimID,CustomerID,ProductID,StoreID,PurchaseDate,ClaimDate,Issue,Status,WarrantyMonths
WC001229,CUST026637,P0015,ST0055,2023-04-26,2023-07-01,Overheating during use,In Progress,12
WC003742,CUST008759,P0119,ST0037,2022-07-07,2023-07-01,Network/SIM issue,Resolved,12
WC004895,CUST007608,P0092,ST0053,2022-07-16,2023-07-01,Speaker/mic not working,Resolved,12
WC002403,CUST011822,P0159,ST0053,2023-05-13,2023-07-02,Screen flickering,Pending Pickup,12
WC002861,CUST024306,P0200,ST0056,2023-06-21,2023-07-02,Software update issue,Resolved,24
WC003422,CUST015783,P0307,ST0037,2023-03-10,2023-07-02,Overheating during use,Resolved,12
WC004509,CUST030143,P0407,ST0010,2023-02-23,2023-07-02,Speaker/mic not working,Pending Pickup,12
WC005306,CUST022067,P0265,ST0012,2022-09-28,2023-07-02,Speaker/mic not working,Resolved,12
WC005356,CUST027611,P0030,ST0043,2022-10-20,2023-07-02,Battery draining fast,Resolved,24
WC005764,CUST015372,P0071,ST0031,2022-12-23,2023-07-02,Physical damage - screen crack,Resolved,12
WC001618,CUST046861,P0427,ST0013,2023-02-27,2023-07-03,Speaker/mic not working,Resolved,12
WC002609,CUST038887,P0214,ST0014,2023-06-07,2023-07-03,Water damage,Rejected - Out of Warranty,12
WC004303,CUST016886,P0215,ST0007,2023-03-30,2023-07-03,Overheating during use,Pending Pickup,12
WC004977,CUST021805,P0513,ST0055,2023-01-01,2023-07-03,Charging port not working,Resolved,12
WC005063,CUST013223,P0125,ST0002,2023-04-11,2023-07-03,Camera not focusing,Resolved,12
WC005658,CUST031007,P0075,ST0030,2022-08-19,2023-07-03,Overheating during use,Resolved,12
WC005959,CUST015928,P0320,ST0054,2022-12-19,2023-07-03,Overheating during use,Resolved,12
WC001658,CUST004922,P0156,ST0006,2022-10-11,2023-07-04,Camera not focusing,Resolved,12
WC004840,CUST004578,P0140,ST0040,2023-07-01,2023-07-04,Software update issue,Resolved,12
WC000514,CUST018005,P0182,ST0049,2023-01-19,2023-07-05,Overheating during use,Resolved,12
WC001482,CUST043593,P0197,ST0032,2023-05-24,2023-07-05,Battery draining fast,In Progress,12
WC002614,CUST036774,P0354,ST0029,2022-12-12,2023-07-05,Speaker/mic not working,Resolved,12
WC002713,CUST045701,P0463,ST0011,2022-05-29,2023-07-05,Physical damage - screen crack,Resolved,24
WC005673,CUST045669,P0498,ST0029,2023-02-13,2023-07-05,Charging port not working,Resolved,12
WC005794,CUST010647,P0163,ST0059,2022-06-26,2023-07-05,Water damage,Resolved,24
WC001440,CUST027362,P0464,ST0017,2022-12-13,2023-07-06,Software update issue,Resolved,12
WC001832,CUST026176,P0560,ST0034,2022-08-15,2023-07-06,Charging port not working,Pending Pickup,12
